# Language File – BACKEND
# RUSSIAN
# ----- layout -----
"Digitalus CMS";"Digitalus CMS"
"Current User";"Пользователь"
"Role";"Роль"
"Log Out";"Выйти"
"Log In";"Войти"
"Login";"На главную"
"Home";"На главную"
"Site";"Сайт"
"Pages";"Страницы"
"Navigation";"Навигация"
"Design";"Дизайн"
"Modules";"Модули"
"Public Site";"Публичный сайт"
"value";"значение"
"You are here";"Вы здесь"
"Add to my bookmarks";"Добавить в закладки"
"Delete";"Удалить"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus CMS – открытый поддерживаемый сообществом проект. Чтобы узнать больше о проекте, посетите"
"Digitalus Site";"Сайт Digitalus"
"Wiki";"Вики"
"Forum";"Форум"
"Training and Support";"Обучение и поддержка"
"If you need any help building or managing your site check out our support options.";"Если вам необходима помощь в создании или управлении вебсайтом, обратите внимание на наши варианты поддержки"
"My Dashboard";"Мое рабочее место"
"My Account";"Моя учетная запись"
"My Bookmarks";"Мои закладки"
"You do not have any bookmarks.";"У вас нет закладок"
"My Writeboard";"Моя доска"
"The writeboard is a personal spot for you to keep notes about your site.";"Доска – это личное место, где можно хранить заметки о вашем сайте"
"You have no notes to view";"У вас нет заметок"
"Save My Writeboard";"Сохранить мою доску"
"My Content";"Мое содержимое"
"Admin User Login";"Вход для администратора"
"Reset Password";"Переустановить пароль"
"Admin Login";"Логин администратора"
"Please enter your username (this is your email address) and password to get started.";"Пожалуйста введите свое имя пользователя (это ваш e-mail) и пароль для того чтоб начать"
"Username";"Имя пользователя"
"Password";"Пароль"
"Log In";"Войти"
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Если у вас проблемы с входом, пожалуйста, введите ваш e-mail ниже и мы вам вышлем ваши данные для логина."
"Send Reminder";"Послать напоминание"
"Update My Account";"Обновить учетную запись"
"First Name";"Имя"
"Last Name";"Фамилия"
"Password";"Пароль"
"Confirm";"Подтвердить"
"The site sections is where you manage your site.";"Секции сайта – это то место, где вы управляете сайтом"
"Admin Users";"Администраторы"
"Create new user";"Создать нового пользователя"
"Site Reports";"Отчеты по сайту"
"Traffic Report";"Отчеты по трафику"
"Admin Access Report";"Отчеты по доступу администратора"
