# Language File – BACKEND
# SWEDISH
# languages
"english";"Engelska"
"french";"Franska"
"german";"Tyska"
"polish";"Polska"
"russian";"Ryska"
"swedish";
# admin section -- Auth --
"Login";"Login"
"You must enter a username.";"Du måste ange ett användarnamn."
"You must enter a password.";"Du måste ange ett lösenord."
"The username or password you entered was not correct.";"Användarnamnet eller lösenordet du angav var inte korrekt."
"Your password has been reset for security and sent to your email address";"Ditt lösenord har återställts av säkerhetsskäl och har skickats till din e-postadress."
"Sorry, there was an error sending you your updated password.  Please contact us for more help.";"Ursäkta, det blev ett fel att skicka ditt uppdaterade lösenord. Var snäll och kontakta oss för mer hjälp."
"Sorry, we could not locate your account. Please contact us to resolve this issue.";"Tyvärr kunde vi inte hitta ditt konto. Vänligen kontakta oss för att lösa problemet."
"Need Help?";
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Om du har problem med att logga in så ange din e-postadress nedan så skickar vi dina inloggningsuppgifter."
"Reset Password";"Återställ lösenord"
"Administrator Login";"Administration inloggning"
"Please enter your username (this is your email address) and password to get started.";"Ange ditt användarnamn (detta är din e-postadress) och lösenord för att komma ogång."
"Username";"Användarnamn"
"Password";"Lösenord"
"Log In";"Logga In"
# admin section -- Design --
"Design";"Design"
"Open";
"Add to my bookmarks";"Lägg till i mina bokmärken"
"Delete";
"Design Options";"Design alternativ"
"Create a new design";"Skapa en ny design"
"Design Name";"Design Namn"
"Design Notes";"Design anteckning"
"Create Design";"Skapa Design"
"Current Designs";"Nuvarande Designer"
"Tools";"Verktyg"
"Preview Design";"Förhandsvisa Design"
"Who Uses This?";"Vem använder detta?"
"These are the pages that use this design:";"De här webbplatserna använder den här designen:"
"No pages use this design currently.";"Ingen sida använder den här designen."
"Update Design";"Uppdatera Design"
"Design details";"Design detaljer"
"This is the default site design";"Det här är sidans standard design"
"Layout";"Layout"
"Skin";"Skinn"
# admin section -- Error --
"Sorry, you are not authorized to edit this resource!";
# admin section -- Index --
"Home";"Hem"
"Your bookmark was saved successfully.";"Ditt bokmärke har sparats."
"My Content";
"The following pages are the pages that you have recently created.";"Följande sidor har du nyligen skapat."
"These are the modules that you are working with.";"De här modulerna arbetar du med."
"My Dashboard";"Min Anslagstavla"
"My Account";"Mitt Konto"
"First Name";"Förnamn"
"Last Name";"Efternamn"
"Email";"E-post"
"Update Password?";"Uppdatera lösenordet?"
"Confirm";"Bekräfta lösenord"
"Update My Account";"Uppdatera mitt konto"
"My Bookmarks";"Mina Bokmärken"
"You do not have any bookmarks.";"Du har inga bokmärken"
"My Writeboard";"Min Skrivtavla"
